"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"32758","01001311922000022000000000U0","CAFE ORIGEN","PRODUCTOS Y SERVICIOS ORIGEN SA DE CV","311922","Elaboración de café tostado y molido","6 a 10 personas","AVENIDA","LAS AMERICAS","CALLE","DOCTOR E. GONZALEZ MEDINA","CALLE","REPUBLICA MEXICANA","CALLE","REPÚBLICA DEL SALVADOR","1701",,"CENTRO Y PLAZA COMERCIAL","PLANTA BAJA","19",,"FRACCIONAMIENTO","EL DORADO","CENTRO Y PLAZA COMERCIAL","CENTRO COMERCIAL EL DORADO","19","20235","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","2070","003",,"VENTAS@CAFEORIGEN.COM","WWW.CAFEORIGEN.COM","Fijo","21.86240925","-102.30545208","2014-12"
"9312978","01001311922000041000000000U0","CAFE ORIGEN","PRODUCTOS Y SERVICIOS ORIGEN SA DE CV","311922","Elaboración de café tostado y molido","0 a 5 personas","AVENIDA","GUADALUPE GONZALEZ","AVENIDA","AGUASCALIENTES PONIENTE","AVENIDA","UNIVERSIDAD","OTRO (ESPECIFIQUE)","SIN REFERENCIA",,"SN",,"PLANTA BAJA",,,"FRACCIONAMIENTO","BOSQUES DEL PRADO SUR","OTRO CONGLOMERADO","CAFETERIA SUR",,"20130","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","1960","029",,,,"Fijo","21.90958137","-102.31486113","2020-11"
"6905908","01001311812004791000000000U9","CAFE REMEMBRANZAS",,"311812","Panificación tradicional","0 a 5 personas","CALLE","SIERRA NEVADA","AVENIDA","UNIVERSIDAD","CALLE","MONTE EVEREST","CALLE","ANDES APENINOS",,"SN",,,,,"FRACCIONAMIENTO","LOS BOSQUES",,,,"20120","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","2259","028","4492058671","REMEBRANZAS.REPOSTERIA@GMAIL.COM",,"Fijo","21.91841998","-102.31282742","2019-11"
"9333711","01001311922000061000000000U8","CAFE ZAZILHA","IMPULSORA Y DESARROLLADORA DE PROYECTOS IRM DE MEXICO SA DE CV","311922","Elaboración de café tostado y molido","0 a 5 personas","CALLE","GALEANA SUR","CALLE","HÉROES DE CHAPULTEPEC","AVENIDA","LICENCIADO ADOLFO LÓPEZ MATEOS PONIENTE","AVENIDA","JOSÉ MARÍA CHÁVEZ","306","A",,,,,"COLONIA","CENTRO",,,,,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0784","008",,"CAFEDECHIAPAS@HOTMAIL.COM",,"Fijo","21.878113","-102.29688915","2021-05"
"9333713","01001311922000051000000000U9","CAFE ZAZILHA","SOLUCIONES EMPRESARIALES FRC SA DE CV","311922","Elaboración de café tostado y molido","0 a 5 personas","CALLE","GALEANA SUR","CALLE","HÉROES DE CHAPULTEPEC","AVENIDA","LICENCIADO ADOLFO LÓPEZ MATEOS PONIENTE","CALLE","JOSÉ MARÍA CHÁVEZ","306","B",,,,,"COLONIA","CENTRO",,,,,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0784","008",,"FACTURACIONDESOLUCIONES@HOTMAIL.COM",,"Fijo","21.87795199","-102.29686591","2021-05"
"9387758","01001311922000071000000000U7","CATA CAFE",,"311922","Elaboración de café tostado y molido","0 a 5 personas","CALLE","5 DE MAYO","PEATONAL","ARTEAGA","CALLE","UNION","CALLE","LICENCIADO BENITO JUÁREZ",,"SN",,"PASAJE",,"MODULO IV DE CRISTAL PLANTA BAJA","COLONIA","CENTRO","MERCADO PUBLICO","MERCADO TERAN","MODULO IV","20000","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0515","030","4494565188","CUATROCAFETALLER@GMAIL.COM",,"Fijo","21.88408171","-102.2977684","2022-05"
"6911963","01001311922000031000000000U1","LEPRE COFFEE",,"311922","Elaboración de café tostado y molido","0 a 5 personas","CALLE","PROFESOR ENRIQUE OLIVARES SANTANA","CALLE","EUGENIO ALCALA","PROLONGACION","DIEGO FERNANDEZ VILLA","CALLE","LAURO AGUIRRE","412",,,,,,"FRACCIONAMIENTO","BOULEVARES 1RA SECC",,,,"20288","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","2884","014","4499079413","LEPRECOFFEE.INC@GMAIL.COM",,"Fijo","21.85483894","-102.30407215","2019-11"
"6923317","01001311812005391000000000U7","PAN HORNEADO Y CAFE A UN LADO",,"311812","Panificación tradicional","0 a 5 personas","AVENIDA","INDEPENDENCIA","CALLE","MANUEL ÁVILA CAMACHO","CALLE","DOCTOR CARLOS M. LOPEZ","CALLE","JOSÉ BOLADO","621",,,,"0",,"COLONIA","INDUSTRIAL",,,,"20030","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0360","022","4491857693",,,"Fijo","21.89784174","-102.29561286","2019-11"
"7666832","01006311922000011000000000U2","TIENDA DE CAFE 8:00 A.M.",,"311922","Elaboración de café tostado y molido","0 a 5 personas","AVENIDA","FRANCISCO I. MADERO SUR","CALLE","REFORMA","AVENIDA","20 DE NOVIEMBRE","AVENIDA","IRRIGACIÓN","5",,,,,,"BARRIO","CARBONERAS",,,,"20675","01","AGUASCALIENTES","006","Pabellón de Arteaga","0001","Pabellón de Arteaga","0102","022","4491131091",,,"Fijo","22.14768971","-102.27390809","2019-11"
"6398639","01001311922000011112011234S3","CAPSA BODEGA AGUASCALIENTES","CAFE DEL PACIFICO SAPI DE CV","431199","Comercio al por mayor de otros alimentos","51 a 100 personas","CALLE","VIÑEDOS RIVIER","AVENIDA","NINGUNO","CARRETERA","NINGUNO","CALLE","NINGUNO","1809",,,,,,"COLONIA","CENTRO DISTRIBUIDOR DE BÁSICOS VIÑEDOS SAN MARCOS","CENTRAL DE ABASTO","VIÑEDOS SAN MARCOS","231","20908","01","AGUASCALIENTES","005","Jesús María","0121","Frutilandia [Viñedos]","0035","800",,"LEONARDO.CHAVEZ@CAFFENIO.COM",,"Fijo","21.97097361","-102.29340306","2014-12"
